inicio	varinicio	varfim	pt_v	id	vir	inteiro	real	literal	leia	escreva	lit	num	rcb	opm	se	ab_p	fc_p	entao	opr	fimse	repita	fimrepita	fim	$	P’	P	V	LV	D	L	TIPO	A	ES	ARG	CMD	LD	OPRD	COND	CAB	EXP_R	CP	R	CP_R
s2	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1		1.0																	
e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	a0																			
e3	s3	e3	e3	e3	e3	e3	e3	e3	e3	e3	e3	e3	e3	e3	e3	e3	e3	e3	e3	e3	e3	e3	e3	e3			4.0																
e4	e4	s10	e4	e4	e4	s5	s6	s7	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4				8.0	12.0		9.0												
e5	e5	e5	e5	s30	e5	e5	e5	e5	s21	s24	e5	e5	e5	e5	s64	e5	e5	e5	e5	e5	s39	e5	s20	e5								19.0	54.0		69.0			70.0	55.0			71.0	
e6	e6	e6	e6	r9	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6																			
e7	e7	e7	e7	r10	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7																			
e8	e8	e8	e8	r11	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8	e8																			
e9	e9	e9	e9	r3	e9	e9	e9	e9	r3	r3	e9	e9	e9	e9	r3	e9	e9	e9	e9	e9	r3	e9	r3	e9																			
e10	e10	e10	e10	s13	e10	e10	e10	e10	e10	e10	e10	e10	e10	e10	e10	e10	e10	e10	e10	e10	e10	e10	e10	e10						16.0													
e11	e11	e11	s11	e11	e11	e11	e11	e11	e11	e11	e11	e11	e11	e11	e11	e11	e11	e11	e11	e11	e11	e11	e11	e11																			
e12	e12	e12	e12	r5	e12	e12	e12	e12	r5	r5	e12	e12	e12	e12	r5	e12	e12	e12	e12	e12	r5	e12	r5	e12																			
e13	e13	s10	e13	e13	e13	s5	s6	s7	e13	e13	e13	e13	e13	e13	e13	e13	e13	e13	e13	e13	e13	e13	e13	e13				18.0	12.0		9.0												
e14	e14	e14	r8	e14	s14	e14	e14	e14	e14	e14	e14	e14	e14	e14	e14	e14	e14	e14	e14	e14	e14	e14	e14	e14																			
e15	e15	e15	e15	s13	e15	e15	e15	e15	e15	e15	e15	e15	e15	e15	e15	e15	e15	e15	e15	e15	e15	e15	e15	e15						15.0													
e16	e16	e16	r7	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16																			
e17	e17	e17	s17	e17	e17	e17	e17	e17	e17	e17	e17	e17	e17	e17	e17	e17	e17	e17	e17	e17	e17	e17	e17	e17																			
e18	e18	r6	e18	e18	e18	r6	r6	r6	e18	e18	e18	e18	e18	e18	e18	e18	e18	e18	e18	e18	e18	e18	e18	e18																			
e19	e19	e19	e19	r4	e19	e19	e19	e19	r4	r4	e19	e19	e19	e19	r4	e19	e19	e19	e19	e19	r4	e19	r4	e19																			
e20	e20	e20	e20	e20	e20	e20	e20	e20	e20	e20	e20	e20	e20	e20	e20	e20	e20	e20	e20	e20	e20	e20	e20	r2																			
e21	e21	e21	e21	e21	e21	e21	e21	e21	e21	e21	e21	e21	e21	e21	e21	e21	e21	e21	e21	e21	e21	e21	e21	r38																			
e22	e22	e22	e22	s22	e22	e22	e22	e22	e22	e22	e22	e22	e22	e22	e22	e22	e22	e22	e22	e22	e22	e22	e22	e22																			
e23	e23	e23	s23	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23																			
e24	e24	e24	e24	r13	e24	e24	e24	e24	r13	r13	e24	e24	e24	e24	r13	e24	e24	e24	e24	r13	r13	r13	r13	e24																			
e25	e25	e25	e25	s27	e25	e25	e25	e25	e25	e25	s25	s26	e25	e25	e25	e25	e25	e25	e25	e25	e25	e25	e25	e25										28.0									
e26	e26	e26	r15	e26	e26	e26	e26	e26	e26	e26	e26	e26	e26	e26	e26	e26	e26	e26	e26	e26	e26	e26	e26	e26																			
e27	e27	e27	r16	e27	e27	e27	e27	e27	e27	e27	e27	e27	e27	e27	e27	e27	e27	e27	e27	e27	e27	e27	e27	e27																			
e28	e28	e28	r17	e28	e28	e28	e28	e28	e28	e28	e28	e28	e28	e28	e28	e28	e28	e28	e28	e28	e28	e28	e28	e28																			
e29	e29	e29	s29	e29	e29	e29	e29	e29	e29	e29	e29	e29	e29	e29	e29	e29	e29	e29	e29	e29	e29	e29	e29	e29																			
e30	e30	e30	e30	r14	e30	e30	e30	e30	r14	r14	e30	e30	e30	e30	r14	e30	e30	e30	e30	r14	r14	r14	r14	e30																			
e31	e31	e31	e31	e31	e31	e31	e31	e31	e31	e31	e31	e31	s31	e31	e31	e31	e31	e31	e31	e31	e31	e31	e31	e31																			
e32	e32	e32	e32	s35	e32	e32	e32	e32	e32	e32	e32	s34	e32	e32	e32	e32	e32	e32	e32	e32	e32	e32	e32	e32												32.0	36.0						
